code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev,mndwi,ndwi,nirwi
bare_terrain,1999,15,50,POINT (166.7047629248728 -22.330310067404707),1.0,675570.0,-2470380.0,0.0,0.029899999499320984,0.0,1.0,0.04490000009536743,0.0,0.17820000648498535,0.0,0.0406000018119812,0.0,0.1298000067472458,0.0,0.06949999928474426,0.0,-0.5417329668998718,0.0,0.0,-0.485975980758667,-0.5974899530410767,-0.16394512355327606
bare_terrain,1999,15,50,POINT (166.70793447704716 -22.331885936582893),1.0,675900.0,-2470560.0,0.0,0.03799999877810478,0.0,1.0,0.06480000168085098,0.0,0.11089999973773956,0.0,0.09120000153779984,0.0,0.13199999928474426,0.0,0.09149999916553497,0.0,-0.1349426656961441,0.0,0.0,-0.3414634168148041,-0.2623790204524994,0.07157809287309647
bare_terrain,1999,15,50,POINT (166.71031295865967 -22.33293870486969),1.0,676140.0,-2470680.0,0.0,0.03629999980330467,0.0,1.0,0.05570000037550926,0.0,0.2037999927997589,0.0,0.06019999831914902,0.0,0.17669999599456787,0.0,0.0982000008225441,0.0,-0.5456834435462952,0.0,0.0,-0.520654022693634,-0.5707128643989563,-0.22845084965229034
bare_terrain,1999,15,50,POINT (166.71060249979823 -22.33326151182433),1.0,676170.0,-2470710.0,0.0,0.03629999980330467,0.0,1.0,0.059300001710653305,0.0,0.2198999971151352,0.0,0.06830000132322311,0.0,0.1915999948978424,0.0,0.10909999907016754,0.0,-0.5512583255767822,0.0,0.0,-0.5273016691207886,-0.5752149224281311,-0.2641563415527344
bare_terrain,1999,15,50,POINT (166.71377030263366 -22.331874450851203),1.0,676500.0,-2470560.0,0.0,0.03310000151395798,0.0,1.0,0.048500001430511475,0.0,0.22220000624656677,0.0,0.04050000011920929,0.0,0.13840000331401825,0.0,0.06289999932050705,0.0,-0.5613378286361694,0.0,0.0,-0.48100587725639343,-0.641669750213623,-0.2689891457557678
bare_terrain,1999,15,50,POINT (166.71399108812867 -22.33186208896169),1.0,676530.0,-2470560.0,0.0,0.0364999994635582,0.0,1.0,0.05939999967813492,0.0,0.2612999975681305,0.0,0.05530000105500221,0.0,0.1808999925851822,0.0,0.0892999991774559,0.0,-0.5675891637802124,0.0,0.0,-0.5056179761886597,-0.6295603513717651,-0.3424094319343567
bare_terrain,1999,15,50,POINT (166.71373583307894 -22.33214051925496),1.0,676500.0,-2470590.0,0.0,0.03310000151395798,0.0,1.0,0.04659999907016754,0.0,0.22679999470710754,0.0,0.03889999911189079,0.0,0.12770000100135803,0.0,0.05849999934434891,0.0,-0.5621986389160156,0.0,0.0,-0.46528974175453186,-0.659107506275177,-0.27846673130989075
bare_terrain,1999,15,50,POINT (166.7137658971738 -22.33239587854039),1.0,676500.0,-2470620.0,0.0,0.026399999856948853,0.0,1.0,0.0430000014603138,0.0,0.24300000071525574,0.0,0.03229999914765358,0.0,0.11919999867677689,0.0,0.051899999380111694,0.0,-0.5845454931259155,0.0,0.0,-0.46979033946990967,-0.6993007063865662,-0.3099730312824249
bare_terrain,1999,15,50,POINT (166.71778541730296 -22.33235832806008),1.0,676920.0,-2470620.0,0.0,0.031300000846385956,0.0,1.0,0.04839999973773956,0.0,0.20600000023841858,0.0,0.042100001126527786,0.0,0.13619999587535858,0.0,0.06949999928474426,0.0,-0.5475598573684692,0.0,0.0,-0.4756229519844055,-0.6194968223571777,-0.23353292047977448
bare_terrain,1999,15,50,POINT (166.71903674420707 -22.332891503461582),1.0,677040.0,-2470680.0,0.0,0.03440000116825104,0.0,1.0,0.04820000007748604,0.0,0.1712999939918518,0.0,0.04859999939799309,0.0,0.1639000028371811,0.0,0.09600000083446503,0.0,-0.5531587600708008,0.0,0.0,-0.5454974174499512,-0.5608200430870056,-0.14467084407806396
